RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,,,,Error rate
0.0017773,Experiment4Metamer_ResponseGroup1.m,1,7,1,14,19,p,1,,,,
0.091482,Experiment4Metamer_ResponseGroup1.m,2,18,2,3,20,q,1,,,,
0.01542,Experiment4Metamer_ResponseGroup1.m,2,10,1,11,20,q,1,,,,
0.0017562,Experiment4Metamer_ResponseGroup1.m,2,17,2,8,20,q,1,,,,
0.24061,Experiment4Metamer_ResponseGroup1.m,2,9,1,8,20,q,1,,,,
0.29864,Experiment4Metamer_ResponseGroup1.m,2,11,2,3,20,q,1,,,,
0.27335,Experiment4Metamer_ResponseGroup1.m,2,17,1,2,20,q,1,,,,
0.39052,Experiment4Metamer_ResponseGroup1.m,2,5,1,17,20,q,1,,,,
0.08337,Experiment4Metamer_ResponseGroup1.m,2,1,1,7,20,q,1,,,,
0.20627,Experiment4Metamer_ResponseGroup1.m,1,20,2,11,19,p,1,,,,
0.0020176,Experiment4Metamer_ResponseGroup1.m,1,2,1,11,19,p,1,,,,
0.5809,Experiment4Metamer_ResponseGroup1.m,1,15,2,3,19,p,1,,,,
0.0017462,Experiment4Metamer_ResponseGroup1.m,1,3,2,5,19,p,1,,,,
0.0020467,Experiment4Metamer_ResponseGroup1.m,1,7,1,3,19,p,1,,,,
0.034942,Experiment4Metamer_ResponseGroup1.m,1,17,2,13,19,p,1,,,,
0.0019619,Experiment4Metamer_ResponseGroup1.m,1,8,2,15,19,p,1,,,,
0.031781,Experiment4Metamer_ResponseGroup1.m,1,14,2,12,19,p,1,,,,
0.25532,Experiment4Metamer_ResponseGroup1.m,1,3,1,18,19,p,1,,,,
0.0020407,Experiment4Metamer_ResponseGroup1.m,2,5,2,1,20,q,1,,,,
0.49798,Experiment4Metamer_ResponseGroup1.m,2,17,1,15,20,q,1,,,,
0.36747,Experiment4Metamer_ResponseGroup1.m,1,2,2,16,19,p,1,,,,
0.22935,Experiment4Metamer_ResponseGroup1.m,2,10,1,16,20,q,1,,,,
0.096195,Experiment4Metamer_ResponseGroup1.m,1,6,1,15,19,p,1,,,,
0.3302,Experiment4Metamer_ResponseGroup1.m,2,15,2,1,20,q,1,,,,
0.060314,Experiment4Metamer_ResponseGroup1.m,2,12,2,5,20,q,1,,,,
0.068508,Experiment4Metamer_ResponseGroup1.m,2,1,2,13,20,q,1,,,,
0.061491,Experiment4Metamer_ResponseGroup1.m,2,11,1,5,20,q,1,,,,
0.10734,Experiment4Metamer_ResponseGroup1.m,2,9,1,20,20,q,1,,,,
0.018166,Experiment4Metamer_ResponseGroup1.m,1,7,2,16,19,p,1,,,,
0.0018472,Experiment4Metamer_ResponseGroup1.m,2,1,2,4,20,q,1,,,,
0.5484,Experiment4Metamer_ResponseGroup1.m,2,5,1,7,20,q,1,,,,
0.0017761,Experiment4Metamer_ResponseGroup1.m,2,16,1,1,20,q,1,,,,
0.0017526,Experiment4Metamer_ResponseGroup1.m,2,15,2,2,20,q,1,,,,
0.079162,Experiment4Metamer_ResponseGroup1.m,2,17,2,20,20,q,1,,,,
0.090656,Experiment4Metamer_ResponseGroup1.m,2,15,1,13,20,q,1,,,,
0.010781,Experiment4Metamer_ResponseGroup1.m,1,7,1,1,19,p,1,,,,
0.0019365,Experiment4Metamer_ResponseGroup1.m,1,11,2,19,19,p,1,,,,
0.001952,Experiment4Metamer_ResponseGroup1.m,2,8,2,8,20,q,1,,,,
0.11298,Experiment4Metamer_ResponseGroup1.m,1,19,1,14,19,p,1,,,,
0.001983,Experiment4Metamer_ResponseGroup1.m,1,5,1,8,19,p,1,,,,
0.0061179,Experiment4Metamer_ResponseGroup1.m,1,7,1,6,19,p,1,,,,
0.0020836,Experiment4Metamer_ResponseGroup1.m,2,2,2,18,20,q,1,,,,
0.086181,Experiment4Metamer_ResponseGroup1.m,2,16,2,17,20,q,1,,,,
0.0018054,Experiment4Metamer_ResponseGroup1.m,2,11,1,3,20,q,1,,,,
0.093889,Experiment4Metamer_ResponseGroup1.m,2,6,1,4,20,q,1,,,,
0.0020845,Experiment4Metamer_ResponseGroup1.m,2,15,2,16,20,q,1,,,,
0.003304,Experiment4Metamer_ResponseGroup1.m,2,13,1,9,20,q,1,,,,
0.0017525,Experiment4Metamer_ResponseGroup1.m,2,13,2,11,20,q,1,,,,
0.35315,Experiment4Metamer_ResponseGroup1.m,2,19,1,11,20,q,1,,,,
0.043301,Experiment4Metamer_ResponseGroup1.m,2,4,2,12,20,q,1,,,,
0.0017906,Experiment4Metamer_ResponseGroup1.m,2,8,2,9,20,q,1,,,,
0.0017432,Experiment4Metamer_ResponseGroup1.m,2,8,2,9,20,q,1,,,,
0.0019625,Experiment4Metamer_ResponseGroup1.m,1,5,1,7,19,p,1,,,,
0.063131,Experiment4Metamer_ResponseGroup1.m,1,3,2,16,19,p,1,,,,
0.022627,Experiment4Metamer_ResponseGroup1.m,1,10,1,19,19,p,1,,,,
0.095934,Experiment4Metamer_ResponseGroup1.m,2,2,2,10,20,q,1,,,,
0.57061,Experiment4Metamer_ResponseGroup1.m,1,14,2,2,19,p,1,,,,
0.0017468,Experiment4Metamer_ResponseGroup1.m,2,2,1,13,20,q,1,,,,
0.28728,Experiment4Metamer_ResponseGroup1.m,2,13,2,11,20,q,1,,,,
0.0017533,Experiment4Metamer_ResponseGroup1.m,2,6,1,9,20,q,1,,,,
0.20869,Experiment4Metamer_ResponseGroup1.m,2,18,2,10,20,q,1,,,,
0.36037,Experiment4Metamer_ResponseGroup1.m,2,19,1,16,20,q,1,,,,
0.50396,Experiment4Metamer_ResponseGroup1.m,2,1,1,8,20,q,1,,,,
0.0048332,Experiment4Metamer_ResponseGroup1.m,2,13,1,8,20,q,1,,,,
0.0019837,Experiment4Metamer_ResponseGroup1.m,2,15,2,9,20,q,1,,,,
0.006976,Experiment4Metamer_ResponseGroup1.m,2,18,2,4,20,q,1,,,,
0.091542,Experiment4Metamer_ResponseGroup1.m,2,4,2,17,20,q,1,,,,
0.0072319,Experiment4Metamer_ResponseGroup1.m,2,18,1,17,20,q,1,,,,
0.0017727,Experiment4Metamer_ResponseGroup1.m,2,5,1,18,20,q,1,,,,
0.022179,Experiment4Metamer_ResponseGroup1.m,2,8,1,6,20,q,1,,,,
0.02079,Experiment4Metamer_ResponseGroup1.m,2,17,2,17,20,q,1,,,,
0.63134,Experiment4Metamer_ResponseGroup1.m,2,10,1,15,20,q,1,,,,
0.027709,Experiment4Metamer_ResponseGroup1.m,2,13,1,7,20,q,1,,,,
0.089798,Experiment4Metamer_ResponseGroup1.m,2,15,1,6,20,q,1,,,,
0.0018386,Experiment4Metamer_ResponseGroup1.m,2,17,2,7,20,q,1,,,,
0.24543,Experiment4Metamer_ResponseGroup1.m,2,18,2,2,20,q,1,,,,
0.57808,Experiment4Metamer_ResponseGroup1.m,2,16,2,2,20,q,1,,,,
0.68563,Experiment4Metamer_ResponseGroup1.m,2,17,2,2,20,q,1,,,,
0.042856,Experiment4Metamer_ResponseGroup1.m,2,19,1,11,20,q,1,,,,
0.68035,Experiment4Metamer_ResponseGroup1.m,2,4,2,18,20,q,1,,,,
0.24801,Experiment4Metamer_ResponseGroup1.m,2,20,1,11,20,q,1,,,,
0.10467,Experiment4Metamer_ResponseGroup1.m,2,7,2,18,20,q,1,,,,
0.037702,Experiment4Metamer_ResponseGroup1.m,2,11,2,14,20,q,1,,,,
0.085835,Experiment4Metamer_ResponseGroup1.m,2,5,2,11,20,q,1,,,,
0.077701,Experiment4Metamer_ResponseGroup1.m,1,12,2,6,19,p,1,,,,
0.052291,Experiment4Metamer_ResponseGroup1.m,2,7,2,3,20,q,1,,,,
0.0017509,Experiment4Metamer_ResponseGroup1.m,2,19,1,5,20,q,1,,,,
0.58201,Experiment4Metamer_ResponseGroup1.m,2,14,1,10,20,q,1,,,,
0.0019335,Experiment4Metamer_ResponseGroup1.m,2,2,1,11,20,q,1,,,,
0.0017424,Experiment4Metamer_ResponseGroup1.m,2,7,2,6,20,q,1,,,,
0.0019709,Experiment4Metamer_ResponseGroup1.m,2,13,1,4,20,q,1,,,,
0.29086,Experiment4Metamer_ResponseGroup1.m,2,4,2,19,20,q,1,,,,
0.036897,Experiment4Metamer_ResponseGroup1.m,1,11,2,13,19,p,1,,,,
0.43113,Experiment4Metamer_ResponseGroup1.m,1,19,1,19,19,p,1,,,,
0.0017693,Experiment4Metamer_ResponseGroup1.m,1,4,1,1,19,p,1,,,,
0.20086,Experiment4Metamer_ResponseGroup1.m,2,8,2,17,20,q,1,,,,
0.22362,Experiment4Metamer_ResponseGroup1.m,2,16,1,10,20,q,1,,,,
0.0085582,Experiment4Metamer_ResponseGroup1.m,2,5,2,17,20,q,1,,,,
0.0017739,Experiment4Metamer_ResponseGroup1.m,1,2,1,4,19,p,1,,,,
0.029063,Experiment4Metamer_ResponseGroup1.m,1,15,2,1,19,p,1,,,,
0.3001,Experiment4Metamer_ResponseGroup1.m,2,19,1,9,20,q,1,,,,
0.068049,Experiment4Metamer_ResponseGroup1.m,1,1,1,17,19,p,1,,,,
0.0017609,Experiment4Metamer_ResponseGroup1.m,1,5,2,20,19,p,1,,,,
0.1695,Experiment4Metamer_ResponseGroup1.m,2,20,2,7,20,q,1,,,,
0.0017659,Experiment4Metamer_ResponseGroup1.m,2,16,2,9,20,q,1,,,,
0.36341,Experiment4Metamer_ResponseGroup1.m,2,17,1,1,20,q,1,,,,
0.0018254,Experiment4Metamer_ResponseGroup1.m,2,13,2,4,20,q,1,,,,
0.0018203,Experiment4Metamer_ResponseGroup1.m,2,10,1,18,20,q,1,,,,
0.28963,Experiment4Metamer_ResponseGroup1.m,2,15,1,14,20,q,1,,,,
0.0018362,Experiment4Metamer_ResponseGroup1.m,2,2,2,11,20,q,1,,,,
0.001788,Experiment4Metamer_ResponseGroup1.m,2,2,2,20,20,q,1,,,,
0.30984,Experiment4Metamer_ResponseGroup1.m,2,14,2,15,20,q,1,,,,
0.26549,Experiment4Metamer_ResponseGroup1.m,2,3,1,6,20,q,1,,,,
0.021066,Experiment4Metamer_ResponseGroup1.m,1,5,2,11,19,p,1,,,,
0.0019775,Experiment4Metamer_ResponseGroup1.m,1,19,2,16,19,p,1,,,,
0.0087775,Experiment4Metamer_ResponseGroup1.m,1,20,1,13,19,p,1,,,,
0.69818,Experiment4Metamer_ResponseGroup1.m,2,2,2,12,20,q,1,,,,
0.0040979,Experiment4Metamer_ResponseGroup1.m,2,9,1,14,20,q,1,,,,
